Core,Master Composite,Section Depth,TAXA,Achnanthes spp.,Actinocyclus actinochilus,Asteromphalus spp.,Azpeitia tabularis,Chaetoceros subg. Phaeoceros,Cocconeis spp. ,Corethron pennatum,Coscinodiscus spp.,Diploneis spp.,Entomoneis sp.,Eucampia antarctica var. recta terminal valve,Eucampia antarctica var. recta intercalary valve,Eucampia antarctica var. antarctica terminal valve ,Eucampia antarctica var. antarctica intercalary valve ,Eucampia sp. ,Eucampia antarctica vegetative stage,Fragilariopsis curta,Fragilariopsis cylindrus,Fragilariopsis kerguelensis,Fragilariopsis lineata,Fragilariopsis obliquecostata,Fragilariopsis peragallii,Fragilariopsis pseudonana,Fragilariopsis rhombica,Fragilariopsis ritscheri,Fragilariopsis separanda,Fragilariopsis sublinearis,Fragilariopsis vanheurckii,Fragilariopsis spp.,Navicula spp.,Nitzschia spp.,Odontella weissflogii,Paralia spp.,Pleurosigma sp.,Porosira glacialis,Porosira pseudodenticulata,Proboscia inermis ,Proboscia alata ,Proboscia spp.,Pseudo-nitzschia turgiduloides,Rhizosolenia antennata f. semispina,Rhizosolenia antennata f. antennata,Rhizosolenia spp.,Shionodiscus gracilis var. gracilis,Shionodiscus gracilis var. expectus,Shionodiscus oestrupii,Shionodiscus perpusillus,Shionodiscus ritscheri,Stellarima microtrias ,Synedra and Synedropsis spp.,Thalasionema nitzschioides,Thalassiosira antarctica T2,Thalassiosira antarctica T1,Thalassiosira gravida,Thalassiosira lentiginosa,Thalassiosira oliverana,Thalassiosira tumida,Thalassiosira spp.,Thalassiothrix antarctica and Trichotoxon reinboldii,Unidentified centrics,Unidentified pennates,Total %,All sea ice Fragilariopsis,All Rhizosolenia,All Proboscia,All T. antarctica,All S. gracilis,Absolute abundance (mvpgds),F. curta / F. kerguelensis,Cor + Rhizo + Prob + Phaeo
2 3,223.75,70.75,%,0.0,0.9,0.5,0.2,2.3,0.0,3.6,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,16.6,4.8,12.5,0.0,0.2,0.0,0.0,2.7,1.1,1.1,1.4,2.0,0.5,0.9,0.0,3.4,0.0,0.0,0.7,0.0,2.0,1.4,0.0,1.8,2.3,0.0,1.6,3.2,3.4,0.0,0.0,1.1,0.7,0.7,0.2,18.1,0.7,0.0,2.0,0.0,0.5,0.9,0.7,0.7,2.0,100,29.3,3.9,3.4,18.8,6.6,17.486,1.33,13.2
2 3,233,80,%,0.0,3.4,0.0,0.0,1.8,0.5,8.4,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9,9.3,2.7,14.0,0.0,0.5,0.0,0.0,1.8,1.6,0.9,2.0,0.9,0.5,0.9,0.0,1.8,0.0,0.0,0.9,0.0,0.7,0.2,0.0,0.9,1.1,0.5,0.7,2.3,2.3,0.0,0.0,0.9,0.0,0.2,0.0,30.5,1.8,0.0,2.0,0.0,0.0,0.7,0.2,0.5,1.4,100,19.2,2.3,0.9,32.3,4.5,12.43,0.66,13.3
2 3,238.5,85.5,%,0.0,2.6,0.2,0.2,0.5,1.0,2.9,0.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.5,16.7,6.7,11.0,0.0,0.2,0.2,0.0,1.9,1.4,0.7,1.4,2.6,0.5,1.9,0.0,3.3,0.0,0.0,0.5,0.0,5.2,0.0,0.0,0.2,2.4,0.2,1.9,5.0,3.1,0.0,0.0,1.4,0.5,0.0,0.0,16.2,2.4,0.0,2.1,0.0,0.0,0.2,0.2,0.2,0.2,100,31.7,4.5,5.2,18.6,8.1,12.175,1.52,13.1
2 3,244,91,%,0.2,3.9,0.7,0.0,0.9,0.7,4.5,0.5,0.0,0.0,0.2,1.1,0.0,0.0,0.2,0.2,13.6,2.0,11.6,0.0,0.0,0.2,0.0,1.8,1.4,0.2,0.0,1.8,1.1,1.4,0.2,2.5,0.0,0.0,0.5,0.0,3.9,0.2,0.0,0.7,5.4,0.0,0.7,3.6,6.8,0.2,0.0,0.7,0.9,0.5,0.0,16.8,0.9,0.0,3.6,0.0,0.0,1.8,0.9,0.9,0.0,100,22.0,6.1,4.1,17.7,10.4,11.597,1.18,15.6
2 3,250,97,%,0.0,3.1,0.0,0.0,0.7,0.7,4.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,11.0,0.7,10.3,0.0,0.2,0.0,0.0,2.8,2.1,0.5,1.6,1.6,0.0,0.5,0.2,1.9,0.0,0.0,0.7,0.0,18.5,2.1,0.0,0.2,9.4,0.2,1.9,1.4,0.9,0.0,0.0,0.2,1.9,0.0,0.2,14.1,0.5,0.0,2.8,0.0,0.2,0.5,0.7,0.2,0.5,100,20.2,11.5,20.7,14.6,2.3,15.752,1.07,36.9
2 3,254,101,%,0.0,0.5,0.0,0.0,0.2,0.7,1.4,0.7,0.0,0.0,0.0,0.5,0.0,0.2,0.2,0.0,15.6,5.8,10.8,0.0,0.0,0.0,0.0,1.4,2.9,0.5,1.4,2.6,0.5,1.0,0.2,1.7,0.0,0.0,1.0,0.2,3.6,0.7,0.0,0.7,7.0,0.5,2.4,2.9,2.4,0.0,0.0,1.7,1.7,0.5,0.0,16.6,3.6,0.0,2.2,0.0,0.5,1.4,0.5,0.0,1.0,100,30.3,9.9,4.3,20.2,5.3,14.374,1.44,15.9
2 3,262.5,109.5,%,0.2,2.3,0.4,0.0,0.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,21.6,4.2,12.1,0.2,0.2,0.0,0.0,0.2,3.2,0.4,0.4,4.9,0.8,0.4,0.0,0.4,0.0,0.0,0.4,0.0,3.2,0.2,0.0,2.5,9.7,0.8,0.2,1.1,0.2,0.0,0.0,2.3,0.0,0.0,0.0,12.9,0.0,0.0,1.3,0.0,0.2,5.1,0.2,1.5,1.1,100,35.8,10.8,3.4,12.9,1.3,24.824,1.79,18.2
2 3,264.5,111.5,%,0.0,1.2,0.0,0.0,0.2,0.2,2.4,0.0,0.0,0.0,0.2,1.2,0.0,0.0,0.2,1.4,14.0,2.2,15.0,0.0,0.2,0.0,0.0,4.8,1.2,1.0,0.7,1.7,0.0,0.5,0.2,0.5,0.0,0.0,0.2,0.2,5.8,0.7,0.0,2.7,9.2,0.5,1.4,3.1,3.1,0.0,0.0,0.0,0.5,0.7,0.0,15.0,0.5,0.0,2.4,0.0,0.2,1.4,0.5,0.7,1.7,100,24.9,11.1,6.5,15.5,6.3,18.959,0.94,20.3
2 3,274,121,%,0.0,1.5,0.5,0.2,0.2,0.5,1.7,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.2,37.2,4.4,9.6,0.0,0.2,0.0,0.0,2.5,2.2,0.7,0.5,2.5,0.2,2.0,0.0,2.0,0.0,0.0,1.2,0.0,1.2,0.7,0.0,2.0,3.9,0.2,1.7,3.2,1.0,0.0,0.0,0.7,1.0,0.5,0.0,9.6,0.5,0.0,0.7,0.0,0.2,0.5,0.5,0.0,0.0,100,49.8,5.9,2.0,10.1,4.2,27.312,3.87,9.9
2 3,284,131,%,0.2,2.1,0.9,0.0,0.9,0.5,22.1,0.5,0.0,0.0,0.9,0.0,0.0,0.0,0.5,1.1,9.8,1.4,8.9,0.0,0.0,0.2,0.0,0.7,1.6,0.0,0.5,0.9,0.0,0.5,0.2,1.8,0.0,0.0,1.6,0.0,5.7,0.0,0.0,0.2,12.1,0.7,0.2,0.7,1.8,0.0,0.0,0.5,1.1,0.0,0.0,13.0,1.8,0.0,2.3,0.0,0.2,0.9,0.0,0.0,1.1,100,15.0,13.0,5.7,14.8,2.5,17.316,1.10,41.7
2 3,294,141,%,0.2,0.2,0.0,0.7,0.7,0.2,4.1,0.2,0.0,0.0,0.2,0.5,0.0,0.0,0.0,1.4,19.5,4.1,7.0,0.2,0.0,0.2,0.0,1.7,2.2,0.7,0.5,2.9,0.0,0.7,0.0,0.2,0.0,0.0,16.9,0.2,1.0,0.2,0.0,1.9,1.4,0.0,0.5,1.9,2.4,0.0,0.0,0.7,1.2,0.0,0.0,15.7,0.0,0.0,3.6,0.0,0.2,2.2,0.5,0.0,0.7,100,31.3,1.9,1.2,15.7,4.3,29.237,2.79,8.0
2 3,301.75,148.75,%,0.0,1.9,1.0,0.0,1.9,0.5,6.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.7,0.7,20.6,3.6,13.8,0.0,0.7,0.0,0.0,3.2,1.5,1.7,1.7,2.4,0.0,0.5,0.2,2.4,0.0,0.0,0.7,0.0,1.9,0.7,0.0,0.7,8.3,0.0,1.0,2.2,3.4,0.2,0.0,0.5,0.7,0.7,0.0,8.0,0.5,0.0,1.2,0.0,0.2,0.0,1.0,0.5,1.5,100,33.7,9.2,2.7,8.5,5.6,19.007,1.49,20.1
3 3,304.75,1.25,,0.0,1.7,0.2,0.0,1.5,0.5,5.4,0.5,0.0,0.0,0.2,0.5,0.0,0.2,0.0,1.7,27.4,4.2,12.7,0.2,0.2,0.0,0.0,2.7,1.7,0.7,1.2,1.2,0.0,1.0,0.0,1.2,0.0,0.0,2.0,0.0,2.0,0.7,0.0,3.7,4.2,0.0,0.7,2.9,2.2,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.2,0.0,1.2,0.0,0.0,1.2,2.2,0.7,1.0,100,38.9,4.9,2.7,8.3,5.1,20.965,2.15,14.4
3 3,324,20.5,%,0.2,2.1,0.5,0.0,0.0,0.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,17.8,2.7,4.6,0.0,0.9,0.0,0.0,1.4,1.4,0.7,1.8,2.3,0.0,0.9,0.2,0.9,0.2,0.0,1.4,0.0,0.2,0.0,0.0,0.7,5.5,0.2,0.2,1.8,2.3,0.0,0.0,0.5,0.2,0.2,0.0,22.9,1.8,0.0,2.1,0.0,0.0,2.3,0.5,0.5,0.7,100,28.4,5.9,0.2,24.7,4.1,18.610,3.90,22.2
3 3,334.5,31,%,0.0,2.0,0.5,0.2,2.0,0.7,2.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,15.7,2.0,9.1,0.0,0.5,0.0,0.0,2.7,2.2,0.2,2.0,0.7,0.7,1.0,0.2,1.2,0.0,0.0,1.2,0.0,3.4,2.9,0.0,0.5,9.3,0.0,0.2,3.4,3.2,0.0,0.0,0.2,1.5,0.0,0.0,19.6,1.2,0.0,2.0,0.0,0.2,2.2,0.5,0.5,1.2,100,26.5,9.6,6.4,20.8,6.6,19.619,1.73,20.1
3 3,344.5,41,%,0.2,2.7,0.2,0.0,0.5,0.5,9.9,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.7,0.5,19.9,3.4,13.3,0.0,0.0,0.0,0.0,2.7,1.5,1.0,1.5,2.4,0.2,0.7,0.0,1.5,0.0,0.0,0.7,0.0,1.2,0.2,0.0,0.5,5.8,0.2,0.2,2.7,3.1,0.0,0.0,1.0,0.2,0.2,0.0,14.8,0.5,0.0,1.9,0.2,0.0,1.0,0.5,0.5,0.5,100,31.5,6.3,1.5,15.3,5.8,18.887,1.49,18.2
3 3,349,45.5,%,0.0,1.5,0.7,0.0,5.5,1.7,5.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,1.0,18.4,3.7,15.1,0.0,0.0,0.0,0.0,2.2,2.5,1.7,1.0,1.0,0.0,0.2,0.2,0.7,0.0,0.0,1.7,0.2,1.5,0.5,0.0,1.0,2.2,0.2,1.7,3.7,2.2,0.0,0.0,0.5,1.2,0.0,0.2,13.2,1.0,0.0,2.5,0.0,0.2,1.2,0.5,0.5,0.7,100,28.8,4.2,2.0,14.1,6.0,15.03,1.21,16.6
3 3,354.5,51,%,0.2,1.5,0.7,0.0,0.2,2.0,3.7,0.7,0.0,0.0,0.2,0.9,0.0,0.0,0.2,0.4,10.9,2.4,7.6,0.0,0.0,0.0,0.0,2.6,0.7,1.5,0.0,1.5,0.0,0.0,0.2,0.2,0.0,0.0,0.9,0.0,25.5,0.7,0.2,1.1,15.5,0.9,1.7,1.7,2.2,0.0,0.0,0.0,0.7,0.0,0.0,5.4,0.4,0.0,2.0,0.0,0.0,0.4,0.7,0.7,1.1,100,18.1,18.1,26.4,5.9,3.9,23.528,1.43,48.4
3 3,359.5,56,%,0.0,0.9,0.2,0.0,0.2,0.9,2.3,0.9,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,25.3,11.3,10.4,0.0,0.5,0.2,0.0,2.1,1.6,0.9,0.7,1.6,0.0,0.2,0.7,0.2,0.0,0.0,2.3,0.0,0.9,0.2,0.0,2.1,2.8,0.0,2.3,2.3,0.9,0.0,0.0,1.2,0.9,0.0,0.0,17.3,0.0,0.0,1.8,0.0,0.2,0.7,0.7,0.2,1.4,100,43.3,5.1,1.2,17.3,3.2,20.87,2.44,8.8
3 3,363,59.5,%,0.0,1.5,0.4,0.0,0.6,0.4,2.6,1.9,0.0,0.0,0.2,0.6,0.0,0.2,0.4,0.2,9.2,3.2,17.6,0.0,0.4,0.0,0.0,2.8,1.5,0.9,1.3,2.4,0.9,1.1,0.4,3.2,0.0,0.0,0.4,0.2,0.2,0.4,0.0,1.1,3.9,0.2,1.7,3.7,1.9,0.0,0.0,0.0,0.4,0.6,0.0,20.0,0.6,0.0,4.5,0.0,0.9,2.8,0.4,0.4,1.3,100,21.7,5.8,0.6,20.6,5.6,14.30,0.52,9.7
3 3,365,61.5,%,0.0,1.7,0.7,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,7.7,1.4,7.7,0.0,0.0,0.0,0.0,1.0,0.7,0.2,1.0,0.5,0.0,0.2,0.0,1.0,0.0,0.0,0.5,0.0,4.3,0.5,0.0,0.2,46.9,4.6,4.8,1.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.7,0.0,1.4,1.0,0.2,0.5,0.7,100,12.3,56.3,4.8,6.0,2.2,32.660,1.00,61.6
3 3,374,70.5,%,0.0,2.0,0.0,0.0,0.2,0.2,5.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,5.5,1.6,7.1,0.0,0.0,0.0,0.0,1.4,1.8,0.2,0.6,0.2,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,7.5,0.0,0.4,0.0,43.1,1.8,3.6,1.6,1.4,0.0,0.0,0.4,0.0,0.2,0.0,6.1,0.0,0.0,2.2,0.0,0.2,0.0,0.4,0.2,0.8,100,11.1,48.6,7.9,6.1,3.0,25.451,0.77,62.6
3 3,379.5,76,%,0.2,2.4,0.0,0.0,0.0,0.4,8.0,0.4,0.0,0.0,0.9,0.4,0.0,0.0,0.4,0.9,13.2,2.2,8.9,0.2,0.2,0.0,0.0,2.6,1.9,0.0,1.3,1.1,0.2,0.6,0.4,3.0,0.0,0.0,1.1,0.0,4.8,1.5,0.0,1.1,3.0,0.0,0.4,1.9,0.6,0.0,0.0,1.3,0.4,0.9,0.0,27.0,0.6,0.0,1.9,0.0,0.4,0.6,0.9,0.4,1.1,100,22.9,3.5,6.3,27.6,2.6,16.70,1.49,17.7
3 3,384.5,81,%,0.5,1.4,0.2,0.0,0.9,0.7,2.3,0.2,0.0,0.0,0.5,0.2,0.0,0.2,0.0,0.5,14.2,2.6,16.9,0.2,0.0,0.0,0.0,2.3,1.2,0.9,1.9,1.9,0.9,1.2,0.0,2.3,0.0,0.0,0.5,0.0,4.9,0.0,0.0,0.9,7.0,0.9,0.5,3.0,2.3,0.0,0.0,0.2,0.7,0.0,0.0,17.4,0.7,0.0,2.8,0.0,0.5,0.9,1.4,0.5,0.9,100,25.1,8.4,4.9,18.1,5.3,15.253,0.84,16.5
3 3,389.5,86,%,0.0,0.6,0.0,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,18.5,7.5,3.7,0.0,0.4,0.0,0.0,1.2,2.3,0.6,1.5,0.6,0.8,0.0,0.0,0.8,0.0,0.0,0.4,0.0,6.9,0.6,0.0,1.5,23.3,4.4,2.7,0.6,1.2,0.0,0.0,0.2,0.4,0.0,0.0,13.3,2.1,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.4,100,32.8,30.4,7.5,15.4,1.9,35.714,4.94,38.7
3 3,404.5,101,%,0.0,3.4,0.2,0.0,0.6,1.0,3.7,0.4,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.4,10.1,2.2,9.3,0.2,0.4,0.0,0.0,2.0,2.6,0.8,2.0,1.2,0.0,0.8,0.0,2.6,0.0,0.0,1.0,0.0,6.5,1.0,0.0,0.6,12.2,0.6,2.2,3.4,3.4,0.2,0.0,0.6,0.4,0.6,0.0,17.2,0.4,0.0,1.4,0.2,0.4,1.0,0.6,1.8,0.2,100,20.5,15.0,7.5,17.6,6.7,11.277,1.09,26.8
3 3,415,111.5,%,0.2,1.1,0.0,0.0,0.9,0.6,2.8,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.6,7.3,1.9,8.6,0.0,0.0,0.0,0.0,2.4,4.3,0.9,1.3,1.5,0.4,0.0,0.0,2.6,0.0,0.0,0.9,0.0,1.9,0.6,0.0,0.4,25.7,3.5,1.3,2.4,2.2,0.0,0.0,0.2,0.4,0.9,0.0,17.1,0.4,0.0,1.7,0.0,0.2,0.6,0.2,0.2,0.9,100,19.2,30.5,2.6,17.5,4.5,16.011,0.85,36.7
3 3,423,119.5,%,0.0,0.5,0.5,0.0,0.5,0.2,3.7,0.2,0.0,0.0,0.2,0.5,0.0,0.0,0.5,0.7,18.5,4.1,5.6,0.0,0.0,0.0,0.0,4.6,2.0,0.5,0.7,1.7,0.2,0.0,0.5,2.0,0.0,0.0,0.2,0.0,12.9,1.2,0.0,2.7,8.8,0.0,0.5,1.2,1.2,0.0,0.0,0.2,0.5,0.2,0.0,16.6,0.0,0.0,0.7,0.5,0.0,2.0,0.2,1.2,1.0,100,32.0,9.3,14.1,16.6,2.4,21.452,3.30,27.6
3 3,425,121.5,%,0.0,1.1,0.4,0.0,2.2,0.4,1.3,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,12.7,5.5,5.6,0.0,0.0,0.0,0.0,2.0,3.3,0.7,1.6,0.9,0.9,1.1,0.2,1.5,0.0,0.0,1.6,0.0,17.6,2.9,0.0,4.7,8.4,0.4,1.3,1.3,4.7,0.0,0.0,0.7,0.2,0.2,0.2,9.3,0.2,0.0,1.6,0.0,0.5,0.5,0.5,0.2,0.7,100,26.9,10.0,20.5,9.5,6.0,27.494,2.26,34.0
3 3,433,129.5,%,0.0,2.3,0.0,0.0,0.2,0.9,5.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,10.9,4.1,11.8,0.0,0.5,0.0,0.0,2.9,2.0,0.5,1.8,3.6,0.0,0.2,0.0,1.4,0.0,0.0,1.6,0.0,3.6,1.8,0.0,0.5,4.3,0.5,0.7,3.4,5.2,0.0,0.0,1.1,1.1,0.2,0.0,17.7,0.7,0.0,2.5,0.0,0.5,2.5,0.5,0.5,2.3,100,25.9,5.4,5.4,18.4,8.6,16.616,0.92,16.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,6.3,,1.55,
